ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,dd3,dd4,dd5,dd6,dd7,dd9,dd10,dd11,dd12,dd13,dd15,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,UUID
0,593.1,494.15999999999997,1290.38,1386.88,531.26,1113.0,628.3000000000001,32.31,548.43,57.87,985.8000000000001,929.62,494.7,17.36,928.72,1493.0,1642.0,600.0,1135.0,692.0,609.0,735.0,1101.0,959.0,584.0,984.0,83.0,91.0,75.0,66.0,74.0,75.0,82.0,66.0,66.0,92.0,41.0,82.0,74.0,58.0,91.0,75.0,test5
1,1276.2,1828.1599999999999,478.66,932.8,616.1,376.95,559.29,57.87,1070.6,78.92999999999999,474.3,460.04,866.2099999999999,73.08,511.68,600.0,1135.0,692.0,425.0,609.0,1101.0,959.0,584.0,492.0,984.0,583.0,75.0,66.0,74.0,75.0,82.0,66.0,66.0,92.0,41.0,82.0,74.0,58.0,91.0,75.0,91.0,108.0,test5
2,549.0,416.44,494.13,565.84,1070.6,920.85,525.3000000000001,39.059999999999995,901.9300000000001,164.43,457.56,593.6,704.22,16.72,1561.04,609.0,735.0,1101.0,959.0,584.0,984.0,1902.0,583.0,668.0,784.0,1584.0,82.0,66.0,66.0,92.0,41.0,82.0,74.0,58.0,91.0,75.0,91.0,108.0,58.0,83.0,83.0,83.0,test5
3,488.7,745.88,964.6,771.76,515.1,455.70000000000005,919.7900000000001,164.43,496.92,50.4,675.1800000000001,443.08000000000004,1455.97,17.72,590.72,1101.0,959.0,584.0,492.0,984.0,583.0,668.0,784.0,501.0,1584.0,684.0,66.0,92.0,41.0,82.0,74.0,58.0,91.0,75.0,91.0,108.0,58.0,83.0,83.0,83.0,116.0,91.0,test5
4,442.8,649.5999999999999,660.66,367.84,1516.01,465.15000000000003,585.04,30.869999999999997,455.51,35.28,489.18,637.0600000000001,323.98,22.04,433.68,784.0,501.0,1584.0,526.0,684.0,559.0,475.0,601.0,684.0,417.0,475.0,91.0,108.0,58.0,83.0,83.0,83.0,116.0,91.0,108.0,83.0,75.0,83.0,83.0,67.0,58.0,67.0,test5
5,653.4,484.87999999999994,1365.91,389.84,573.68,360.15000000000003,464.53000000000003,35.28,531.26,54.089999999999996,310.62,584.0600000000001,404.49,28.36,633.36,1584.0,526.0,684.0,434.0,559.0,601.0,684.0,417.0,618.0,475.0,701.0,58.0,83.0,83.0,83.0,116.0,91.0,108.0,83.0,75.0,83.0,83.0,67.0,58.0,67.0,92.0,91.0,test5
6,511.2,397.88,410.41,344.96,531.26,631.0500000000001,344.02,49.589999999999996,421.17,63.809999999999995,566.37,691.12,608.1899999999999,24.72,469.04,559.0,475.0,601.0,684.0,417.0,475.0,776.0,701.0,743.0,701.0,534.0,116.0,91.0,108.0,83.0,75.0,83.0,83.0,67.0,58.0,67.0,92.0,91.0,74.0,66.0,83.0,74.0,test5
7,405.90000000000003,454.71999999999997,478.66,528.88,337.34,578.5500000000001,429.51,63.809999999999995,615.09,58.68,583.11,655.08,437.46999999999997,17.04,591.76,601.0,684.0,417.0,618.0,475.0,701.0,743.0,701.0,684.0,534.0,635.0,108.0,83.0,75.0,83.0,83.0,67.0,58.0,67.0,92.0,91.0,74.0,66.0,83.0,74.0,66.0,74.0,test5
8,548.1,756.3199999999999,570.57,543.84,455.51,447.3,586.07,32.31,531.26,50.4,699.36,726.1,534.47,17.400000000000002,469.04,701.0,684.0,534.0,500.0,635.0,601.0,643.0,834.0,776.0,626.0,559.0,92.0,91.0,74.0,66.0,83.0,74.0,66.0,74.0,75.0,83.0,82.0,91.0,75.0,66.0,108.0,100.0,test5
9,564.3000000000001,716.88,410.41,374.88,574.69,376.95,541.78,50.4,759.52,61.65,512.4300000000001,461.1,437.46999999999997,31.04,634.4,534.0,500.0,635.0,433.0,601.0,834.0,776.0,626.0,501.0,559.0,701.0,74.0,66.0,83.0,74.0,66.0,74.0,75.0,83.0,82.0,91.0,75.0,66.0,108.0,100.0,91.0,83.0,test5
