ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,dd3,dd4,dd5,dd6,dd7,dd9,dd10,dd11,dd12,dd13,dd15,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,UUID
0,593.1,494.15999999999997,1290.38,1386.88,531.26,1113.0,628.3000000000001,32.31,548.43,57.87,985.8000000000001,929.62,494.7,17.36,928.72,1418.35,1527.0600000000002,630.0,1225.8000000000002,740.44,633.36,66.14999999999999,1078.98,1045.3100000000002,589.84,1043.04,106.24000000000001,114.66,93.0,81.84,93.98,94.5,104.14,85.8,82.5,113.16,53.300000000000004,100.86,93.24,71.92,111.92999999999999,91.5,test5
1,1276.2,1828.1599999999999,478.66,932.8,616.1,376.95,559.29,57.87,1070.6,78.92999999999999,474.3,460.04,866.2099999999999,73.08,511.68,570.0,1055.55,726.6,459.00000000000006,651.63,1145.04,86.31,572.3199999999999,536.2800000000001,993.84,617.98,96.0,83.16,91.76,93.0,104.14,83.16,83.82000000000001,119.60000000000001,51.25,100.86,96.2,71.34,114.66,93.0,111.92999999999999,131.76,test5
2,549.0,416.44,494.13,565.84,1070.6,920.85,525.3000000000001,39.059999999999995,901.9300000000001,164.43,457.56,593.6,704.22,16.72,1561.04,578.55,683.5500000000001,1156.05,1035.72,624.88,1023.36,171.18,571.34,728.12,791.84,1679.0400000000002,104.96000000000001,83.16,81.84,114.08,52.07,103.32000000000001,93.98,75.4,113.75,92.25,118.3,132.84,73.08,102.92,102.09,101.25999999999999,test5
3,488.7,745.88,964.6,771.76,515.1,455.70000000000005,919.7900000000001,164.43,496.92,50.4,675.1800000000001,443.08000000000004,1455.97,17.72,590.72,1045.95,891.87,613.2,531.36,1052.88,606.32,60.12,768.3199999999999,546.09,1599.84,725.0400000000001,84.48,115.92,50.839999999999996,101.67999999999999,93.98,73.08,115.57000000000001,97.5,113.75,132.84,75.4,102.09,104.58,102.92,142.68,111.02,test5
4,442.8,649.5999999999999,660.66,367.84,1516.01,465.15000000000003,585.04,30.869999999999997,455.51,35.28,489.18,637.0600000000001,323.98,22.04,433.68,744.8,465.93,1663.2,568.08,731.88,581.36,42.75,588.98,745.5600000000001,421.17,503.5,116.48,136.08,71.92,102.92,105.41,104.58,147.32,118.3,135.0,102.09,97.5,102.09,104.58,83.08,71.34,81.74,test5
5,653.4,484.87999999999994,1365.91,389.84,573.68,360.15000000000003,464.53000000000003,35.28,531.26,54.089999999999996,310.62,584.0600000000001,404.49,28.36,633.36,1504.8,489.18,718.2,468.72,598.13,625.0400000000001,61.559999999999995,408.65999999999997,673.62,479.75,743.0600000000001,74.24,104.58,102.92,102.92,147.32,114.66,137.16,107.9,93.75,102.09,107.9,82.41,73.08,83.08,113.16,111.02,test5
6,511.2,397.88,410.41,344.96,531.26,631.0500000000001,344.02,49.589999999999996,421.17,63.809999999999995,566.37,691.12,608.1899999999999,24.72,469.04,531.05,441.75,631.0500000000001,738.72,446.19,494.0,69.84,686.98,809.87,708.01,566.0400000000001,148.48,114.66,133.92,102.92,95.25,104.58,105.41,87.10000000000001,72.5,82.41,119.60000000000001,111.92999999999999,93.24,81.84,102.09,90.28,test5
7,405.90000000000003,454.71999999999997,478.66,528.88,337.34,578.5500000000001,429.51,63.809999999999995,615.09,58.68,583.11,655.08,437.46999999999997,17.04,591.76,570.9499999999999,636.12,437.85,667.44,508.25000000000006,729.0400000000001,66.87,686.98,745.5600000000001,539.34,673.1,138.24,104.58,93.0,102.92,105.41,84.42,73.66,87.10000000000001,115.0,111.92999999999999,96.2,81.17999999999999,104.58,91.76,81.17999999999999,90.28,test5
8,548.1,756.3199999999999,570.57,543.84,455.51,447.3,586.07,32.31,531.26,50.4,699.36,726.1,534.47,17.400000000000002,469.04,665.9499999999999,636.12,560.7,540.0,679.45,625.0400000000001,57.87,817.3199999999999,845.84,632.26,592.5400000000001,117.76,114.66,91.76,81.84,105.41,93.24,83.82000000000001,96.2,93.75,102.09,106.60000000000001,111.92999999999999,94.5,81.84,132.84,122.0,test5
9,564.3000000000001,716.88,410.41,374.88,574.69,376.95,541.78,50.4,759.52,61.65,512.4300000000001,461.1,437.46999999999997,31.04,634.4,507.29999999999995,465.0,666.75,467.64000000000004,643.07,867.36,69.84,613.48,546.09,564.59,743.0600000000001,94.72,83.16,102.92,91.76,83.82000000000001,93.24,95.25,107.9,102.5,111.92999999999999,97.5,81.17999999999999,136.08,124.0,111.92999999999999,101.25999999999999,test5
10,512.1,416.44,478.66,492.8,759.52,719.25,567.53,39.15,455.51,69.84,567.3000000000001,274.54,478.21,19.400000000000002,607.36,570.9499999999999,597.99,875.7,838.08,669.82,581.36,78.84,686.98,372.78000000000003,573.68,715.5,84.48,93.24,93.0,102.92,104.14,114.66,95.25,85.8,135.0,123.0,118.3,102.09,94.5,91.76,111.92999999999999,81.74,test5
11,473.40000000000003,649.5999999999999,684.32,602.8,556.51,456.75,464.53000000000003,69.84,616.1,23.31,458.49,514.1,566.48,16.04,616.72,792.3,721.6800000000001,657.3000000000001,541.08,598.13,729.0400000000001,30.779999999999998,556.64,609.3100000000001,681.75,725.0400000000001,96.0,104.58,101.67999999999999,112.84,95.25,83.16,137.16,130.0,113.75,102.09,97.5,91.02,114.66,83.08,111.92999999999999,120.78,test5
