ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,dd3,dd4,dd5,dd6,dd7,dd9,dd10,dd11,dd12,dd13,dd15,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,UUID
0,659.0,426.0,1418.0,1576.0,526.0,1060.0,610.0,359.0,543.0,643.0,1060.0,877.0,510.0,434.0,893.0,1493.0,1642.0,600.0,1135.0,692.0,609.0,735.0,1101.0,959.0,584.0,984.0,83.0,91.0,75.0,66.0,74.0,75.0,82.0,66.0,66.0,92.0,41.0,82.0,74.0,58.0,91.0,75.0,test5
1,1418.0,1576.0,526.0,1060.0,610.0,359.0,543.0,643.0,1060.0,877.0,510.0,434.0,893.0,1827.0,492.0,600.0,1135.0,692.0,425.0,609.0,1101.0,959.0,584.0,492.0,984.0,583.0,75.0,66.0,74.0,75.0,82.0,66.0,66.0,92.0,41.0,82.0,74.0,58.0,91.0,75.0,91.0,108.0,test5
2,610.0,359.0,543.0,643.0,1060.0,877.0,510.0,434.0,893.0,1827.0,492.0,560.0,726.0,418.0,1501.0,609.0,735.0,1101.0,959.0,584.0,984.0,1902.0,583.0,668.0,784.0,1584.0,82.0,66.0,66.0,92.0,41.0,82.0,74.0,58.0,91.0,75.0,91.0,108.0,58.0,83.0,83.0,83.0,test5
3,543.0,643.0,1060.0,877.0,510.0,434.0,893.0,1827.0,492.0,560.0,726.0,418.0,1501.0,443.0,568.0,1101.0,959.0,584.0,492.0,984.0,583.0,668.0,784.0,501.0,1584.0,684.0,66.0,92.0,41.0,82.0,74.0,58.0,91.0,75.0,91.0,108.0,58.0,83.0,83.0,83.0,116.0,91.0,test5
4,492.0,560.0,726.0,418.0,1501.0,443.0,568.0,343.0,451.0,392.0,526.0,601.0,334.0,551.0,417.0,784.0,501.0,1584.0,526.0,684.0,559.0,475.0,601.0,684.0,417.0,475.0,91.0,108.0,58.0,83.0,83.0,83.0,116.0,91.0,108.0,83.0,75.0,83.0,83.0,67.0,58.0,67.0,test5
5,726.0,418.0,1501.0,443.0,568.0,343.0,451.0,392.0,526.0,601.0,334.0,551.0,417.0,709.0,609.0,1584.0,526.0,684.0,434.0,559.0,601.0,684.0,417.0,618.0,475.0,701.0,58.0,83.0,83.0,83.0,116.0,91.0,108.0,83.0,75.0,83.0,83.0,67.0,58.0,67.0,92.0,91.0,test5
6,568.0,343.0,451.0,392.0,526.0,601.0,334.0,551.0,417.0,709.0,609.0,652.0,627.0,618.0,451.0,559.0,475.0,601.0,684.0,417.0,475.0,776.0,701.0,743.0,701.0,534.0,116.0,91.0,108.0,83.0,75.0,83.0,83.0,67.0,58.0,67.0,92.0,91.0,74.0,66.0,83.0,74.0,test5
7,451.0,392.0,526.0,601.0,334.0,551.0,417.0,709.0,609.0,652.0,627.0,618.0,451.0,426.0,569.0,601.0,684.0,417.0,618.0,475.0,701.0,743.0,701.0,684.0,534.0,635.0,108.0,83.0,75.0,83.0,83.0,67.0,58.0,67.0,92.0,91.0,74.0,66.0,83.0,74.0,66.0,74.0,test5
8,609.0,652.0,627.0,618.0,451.0,426.0,569.0,359.0,526.0,560.0,752.0,685.0,551.0,435.0,451.0,701.0,684.0,534.0,500.0,635.0,601.0,643.0,834.0,776.0,626.0,559.0,92.0,91.0,74.0,66.0,83.0,74.0,66.0,74.0,75.0,83.0,82.0,91.0,75.0,66.0,108.0,100.0,test5
9,627.0,618.0,451.0,426.0,569.0,359.0,526.0,560.0,752.0,685.0,551.0,435.0,451.0,776.0,610.0,534.0,500.0,635.0,433.0,601.0,834.0,776.0,626.0,501.0,559.0,701.0,74.0,66.0,83.0,74.0,66.0,74.0,75.0,83.0,82.0,91.0,75.0,66.0,108.0,100.0,91.0,83.0,test5
