ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,dd2,dd4,dd5,dd6,dd7,dd9,dd10,dd11,dd12,dd13,dd15,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,UUID
0,216.2,136.85,514.0799999999999,373.36,85.2,8178.94,656.25,1094.45,1551.76,796.5,478.40000000000003,890.6,347.48999999999995,358.62,263.52,606.06,423.28000000000003,143.91,8202.880000000001,727.12,1615.77,953.4200000000001,526.0500000000001,984.13,472.11999999999995,351.59999999999997,111.28,69.68,90.3,50.400000000000006,55.120000000000005,92.88000000000001,79.52000000000001,67.84,85.47000000000001,95.55,45.510000000000005,102.82000000000001,123.20000000000002,88.58,81.62,59.160000000000004,test5
1,496.79999999999995,412.84999999999997,84.49,7527.52,630.0,466.68999999999994,1630.0,781.75,547.4,1971.0000000000002,308.88,339.15999999999997,252.71999999999997,506.97,275.71999999999997,143.91,7616.96,697.3199999999999,534.24,1684.82,586.17,2042.69,427.35,433.15999999999997,339.88,387.59999999999997,92.02000000000001,49.92,54.6,90.3,75.26,69.12,86.24000000000001,96.46000000000001,45.510000000000005,101.85000000000001,122.10000000000001,91.16000000000001,86.24000000000001,59.74,102.82000000000001,34.68,test5
2,603.75,474.95,1551.76,306.8,552.0,824.9,371.25,736.6999999999999,257.03999999999996,1061.1000000000001,235.04000000000002,329.4,281.96999999999997,628.23,774.6999999999999,1615.77,401.44,586.17,926.2400000000001,496.53999999999996,342.81,1113.97,339.15000000000003,361.76,346.84,806.4,75.97,66.56,80.85000000000001,95.55,43.46,104.76,123.20000000000002,91.16000000000001,85.47000000000001,60.900000000000006,107.67000000000002,36.04,64.96000000000001,78.28,39.22,92.82000000000001,test5
3,1499.6,339.25,547.4,759.2,356.4,314.14,270.0,1041.45,268.94,729.0,250.64000000000001,594.14,742.9499999999999,174.15,579.5,586.17,860.08,476.19,407.68000000000006,357.46,377.90999999999997,750.8800000000001,313.95,669.9699999999999,779.52,668.4,82.39,94.64,43.050000000000004,101.85000000000001,116.60000000000001,92.88000000000001,86.24000000000001,61.480000000000004,107.67000000000002,35.7,64.38000000000001,80.56,41.440000000000005,93.73,86.92,70.38,test5
4,339.25,529.0,868.6999999999999,308.88,333.59999999999997,244.07999999999998,491.25,598.9,321.3,650.7,506.48,774.6999999999999,157.95,612.75,483.12,967.5899999999999,423.28000000000003,425.88,328.16,550.22,355.67999999999995,738.5300000000001,591.15,799.68,262.15999999999997,558.0,97.37,42.64,101.85000000000001,115.5,91.16000000000001,83.16000000000001,64.96000000000001,102.82000000000001,37.74,60.900000000000006,84.36000000000001,39.22,101.92000000000002,84.46000000000001,73.14,34.68,test5
5,341.54999999999995,319.7,257.03999999999996,408.72,271.2,305.09999999999997,301.25,1290.55,755.65,364.5,494.0,483.12,136.89,297.99,497.76,342.81,469.04,377.90999999999997,340.48,364.78,786.24,558.22,584.85,553.35,175.16,612.0,117.7,89.44,80.85000000000001,60.900000000000006,102.82000000000001,36.72,64.96000000000001,80.56,41.07,95.55,91.02000000000001,73.14,38.080000000000005,75.19,108.12,48.96,test5
6,730.25,155.25,565.25,411.84000000000003,140.4,261.03,510.0,2901.75,327.25,1009.8000000000001,235.04000000000002,622.1999999999999,287.82,279.93,297.68,651.6899999999999,483.6,176.67,340.48,622.1999999999999,415.34999999999997,1101.6200000000001,338.1,693.77,383.96,379.2,39.59,94.64,86.10000000000001,72.45,36.04,78.84,114.24000000000001,50.88,88.80000000000001,75.60000000000001,106.56,77.38000000000001,95.2,36.050000000000004,76.32000000000001,94.86,test5
7,546.25,455.4,139.23,240.24,489.59999999999997,1237.35,343.75,991.1,268.94,1377.0,255.84,264.74,285.47999999999996,500.52000000000004,491.65999999999997,176.67,316.16,596.6999999999999,1280.16,433.09999999999997,376.73999999999995,1440.0100000000002,347.55,299.88,366.56,607.1999999999999,87.74000000000001,71.76,35.7,76.65,108.12,51.84,89.60000000000001,76.32000000000001,106.56,76.65,94.35000000000001,37.1,80.64000000000001,95.79,109.18,94.86,test5
8,469.2,1259.25,327.25,388.96000000000004,271.2,576.3,307.5,575.05,290.36,1047.6000000000001,419.12,168.35999999999999,411.84,291.54,140.29999999999998,415.34999999999997,463.84000000000003,376.73999999999995,652.96,403.82,369.71999999999997,1188.0700000000002,531.3000000000001,274.89,502.28,235.2,109.14,49.92,84.0,75.60000000000001,101.76,78.84,95.2,37.1,79.92,97.65,114.33000000000001,98.58,90.72000000000001,77.25,85.86,86.7,test5
9,316.25,430.09999999999997,268.94,530.4,295.2,245.20999999999998,305.0,1028.2,479.57,372.6,366.08000000000004,275.71999999999997,134.54999999999998,785.61,245.22,376.73999999999995,606.32,387.27,282.24,385.52,592.02,570.57,454.65000000000003,358.19,227.35999999999999,350.4,85.60000000000001,74.88,100.80000000000001,76.65,90.10000000000001,37.800000000000004,80.64000000000001,98.58,114.33000000000001,97.65,89.91000000000001,79.5,90.72000000000001,87.55,96.46000000000001,99.96000000000001,test5
