ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,dd3,dd4,dd5,dd6,dd7,dd9,dd10,dd11,dd12,dd13,dd15,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,UUID
0,979.2,334.4,773.3,364.61,458.64000000000004,424.06,677.0400000000001,320.76,382.2,524.0400000000001,422.24,141.9,126.75,150.78,515.45,819.0,451.2,523.32,500.72,773.5,498.75,590.94,491.28000000000003,217.35,240.04000000000002,594.09,88.0,74.69,65.36,86.11,67.2,81.37,100.03999999999999,69.60000000000001,108.0,73.92,71.28,83.0,127.98,71.89,79.38000000000001,80.85000000000001,test1
1,732.6,317.68,478.79999999999995,470.66,662.48,442.26,362.70000000000005,524.0400000000001,454.71999999999997,141.9,177.45000000000002,236.94,549.25,714.8399999999999,305.0,535.08,546.24,756.5,504.24,477.75,524.4,211.05,314.17,310.5,641.24,390.6,68.8,83.93,63.84,81.37,97.60000000000001,68.73,110.69999999999999,70.4,70.4,84.0,127.98,75.53,79.38000000000001,82.95,97.2,77.0,test1
2,655.2,427.68,370.5,801.94,422.24,195.65,181.35000000000002,236.94,828.1,1123.3200000000002,455.0,460.68,403.0,102.47999999999999,137.85999999999999,477.75,846.7199999999999,491.28000000000003,277.2,321.23,895.8499999999999,1210.69,551.8,550.62,504.56000000000006,208.53,97.60000000000001,66.99,102.6,69.52000000000001,70.4,79.0,129.56,72.8,78.4,88.2,97.2,83.0,98.82000000000001,103.49000000000001,85.05000000000001,86.24000000000001,test1
3,351.0,698.72,440.79999999999995,217.15,177.45000000000002,326.69,785.85,1123.3200000000002,490.0,460.68,564.2,161.04000000000002,146.9,234.78,428.83,502.32,302.4,314.17,396.0,858.13,589.0,534.6600000000001,660.38,258.75,225.08,511.56,108.0,67.76,66.88,79.0,126.4,71.89,80.36,84.0,96.0,84.0,98.82000000000001,108.72999999999999,85.05000000000001,88.48,88.29,81.62,test1
4,450.0,614.24,589.0,246.44,205.66,508.69,653.7900000000001,490.38,298.9,359.7,314.86,223.08,138.45000000000002,188.57999999999998,470.31,675.22,360.0,294.59000000000003,590.48,738.9200000000001,388.54999999999995,445.55,414.74,313.95,240.04000000000002,546.84,96.0,77.0,92.72,103.49000000000001,84.0,88.48,89.38,84.80000000000001,83.2,100.8,97.2,97.11,113.4,94.01,78.57000000000001,57.75,test1
5,558.0,214.72,214.7,564.59,639.73,676.13,283.65000000000003,359.7,339.08,223.08,193.83,296.34000000000003,501.15000000000003,430.91999999999996,267.79,301.21000000000004,644.16,722.6800000000001,747.12,372.19,442.7,304.85,314.17,391.91999999999996,590.24,350.91,97.60000000000001,100.87,79.8,88.48,87.2,83.74000000000001,85.28,96.0,96.0,98.28,113.4,98.77,78.57000000000001,59.25,95.58000000000001,73.92,test1
6,632.7,653.84,289.75,550.45,314.86,307.58,198.09,296.34000000000003,755.58,677.1600000000001,399.49,259.38,437.45,121.38,202.51999999999998,372.19,638.4,414.74,400.4,321.23,824.5999999999999,737.6700000000001,495.73,337.40999999999997,537.2,274.05,87.2,81.62,79.04,94.80000000000001,96.0,92.43,114.8,95.2,77.60000000000001,63.0,95.58000000000001,79.67999999999999,94.77000000000001,82.95,83.43,91.63,test1
7,274.5,479.6,328.7,341.38,193.83,408.59000000000003,717.0300000000001,677.1600000000001,430.21999999999997,259.38,612.4300000000001,190.74,215.8,288.12,437.98,424.06,436.8,314.17,499.84,789.88,529.15,327.63,703.1,271.85999999999996,295.8,515.34,83.2,92.4,91.2,92.43,112.0,94.01,79.53999999999999,60.0,94.4,80.64,94.77000000000001,87.14999999999999,83.43,94.01,81.0,63.910000000000004,test1
8,395.1,345.84,639.35,291.89,302.12,624.26,667.74,418.44,301.84,343.2,344.89,132.66,169.65,144.48,319.03,718.9,378.24,387.15000000000003,708.4,744.38,416.09999999999997,426.79,445.0,222.17999999999998,235.96,383.67,94.4,73.92,88.92,82.95,82.4,94.01,82.0,66.4,104.0,98.28,98.01,100.42999999999999,69.66000000000001,85.32000000000001,69.66000000000001,74.69,test1
9,605.7,254.32,315.4,692.86,653.38,576.94,286.44,343.2,371.42,132.66,237.51000000000002,227.04000000000002,339.95,55795.74,333.67,395.85,772.8,728.02,630.96,398.58000000000004,475.0,215.74,308.83,311.88,414.12,423.36,93.60000000000001,80.85000000000001,78.28,94.01,80.0,65.57000000000001,106.6,93.60000000000001,96.80000000000001,101.64,69.66000000000001,89.64,69.66000000000001,76.63000000000001,101.25,122.43,test1
10,646.2,557.92,292.59999999999997,525.2,344.89,182.91,242.73000000000002,227.04000000000002,512.54,87679.02,497.77000000000004,419.76000000000005,453.05,109.2,430.05,398.58000000000004,611.52,445.0,283.36,315.77000000000004,578.55,89072.48000000001,598.08,548.55,539.9200000000001,505.26,80.0,63.910000000000004,98.8,92.43,96.80000000000001,95.59,70.52,86.4,68.8,81.48,101.25,131.97,78.57000000000001,95.59,78.57000000000001,84.7,test1
