ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,dd3,dd4,dd5,dd6,dd7,dd9,dd10,dd11,dd12,dd13,dd15,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,UUID
0,547.0,636.0,697.0,260.0,705.0,797.0,762.0,534.0,332.0,608.0,370.0,161.0,237.0,308.0,664.0,794.0,381.0,802.0,907.0,847.0,419.0,693.0,466.0,249.0,356.0,752.0,125.0,159.0,97.0,121.0,97.0,110.0,85.0,96.0,87.0,85.0,96.0,88.0,119.0,104.0,88.0,97.0,test1
1,697.0,260.0,705.0,797.0,762.0,534.0,332.0,608.0,370.0,161.0,237.0,308.0,664.0,1203.0,428.0,802.0,907.0,847.0,630.0,419.0,466.0,249.0,356.0,412.0,752.0,546.0,97.0,121.0,97.0,110.0,85.0,96.0,87.0,85.0,96.0,88.0,119.0,104.0,88.0,97.0,118.0,88.0,test1
2,762.0,534.0,332.0,608.0,370.0,161.0,237.0,308.0,664.0,1203.0,428.0,380.0,687.0,263.0,354.0,419.0,693.0,466.0,249.0,356.0,752.0,1300.0,546.0,468.0,772.0,458.0,85.0,96.0,87.0,85.0,96.0,88.0,119.0,104.0,88.0,97.0,118.0,88.0,85.0,111.0,104.0,120.0,test1
3,332.0,608.0,370.0,161.0,237.0,308.0,664.0,1203.0,428.0,380.0,687.0,263.0,354.0,496.0,631.0,466.0,249.0,356.0,412.0,752.0,546.0,468.0,772.0,374.0,458.0,745.0,87.0,85.0,96.0,88.0,119.0,104.0,88.0,97.0,118.0,88.0,85.0,111.0,104.0,120.0,114.0,83.0,test1
4,428.0,380.0,687.0,263.0,354.0,496.0,631.0,556.0,413.0,470.0,381.0,234.0,273.0,1109.0,115.0,772.0,374.0,458.0,616.0,745.0,522.0,582.0,490.0,329.0,384.0,195.0,118.0,88.0,85.0,111.0,104.0,120.0,114.0,83.0,109.0,112.0,109.0,95.0,111.0,96.0,80.0,98.0,test1
5,687.0,263.0,354.0,496.0,631.0,556.0,413.0,470.0,381.0,234.0,273.0,1109.0,115.0,463.0,790.0,458.0,616.0,745.0,639.0,522.0,490.0,329.0,384.0,1205.0,195.0,895.0,85.0,111.0,104.0,120.0,114.0,83.0,109.0,112.0,109.0,95.0,111.0,96.0,80.0,98.0,105.0,88.0,test1
6,631.0,556.0,413.0,470.0,381.0,234.0,273.0,1109.0,115.0,463.0,790.0,129.0,366.0,403.0,162.0,522.0,582.0,490.0,329.0,384.0,195.0,561.0,895.0,217.0,451.0,306.0,114.0,83.0,109.0,112.0,109.0,95.0,111.0,96.0,80.0,98.0,105.0,88.0,85.0,72.0,144.0,109.0,test1
7,413.0,470.0,381.0,234.0,273.0,1109.0,115.0,463.0,790.0,129.0,366.0,403.0,162.0,273.0,666.0,490.0,329.0,384.0,1205.0,195.0,895.0,217.0,451.0,475.0,306.0,762.0,109.0,112.0,109.0,95.0,111.0,96.0,80.0,98.0,105.0,88.0,85.0,72.0,144.0,109.0,96.0,96.0,test1
8,578.0,1033.0,748.0,264.0,215.0,496.0,556.0,528.0,350.0,499.0,247.0,272.0,222.0,309.0,1116.0,830.0,381.0,311.0,604.0,644.0,455.0,601.0,367.0,406.0,319.0,1212.0,105.0,97.0,82.0,117.0,96.0,108.0,88.0,100.0,105.0,102.0,120.0,134.0,97.0,109.0,96.0,85.0,test1
9,748.0,264.0,215.0,496.0,556.0,528.0,350.0,499.0,247.0,272.0,222.0,309.0,1116.0,891.0,425.0,311.0,604.0,644.0,628.0,455.0,367.0,406.0,319.0,418.0,1212.0,523.0,82.0,117.0,96.0,108.0,88.0,100.0,105.0,102.0,120.0,134.0,97.0,109.0,96.0,85.0,98.0,76.0,test1
10,556.0,528.0,350.0,499.0,247.0,272.0,222.0,309.0,1116.0,891.0,425.0,334.0,767.0,228.0,247.0,455.0,601.0,367.0,406.0,319.0,1212.0,976.0,523.0,410.0,887.0,342.0,88.0,100.0,105.0,102.0,120.0,134.0,97.0,109.0,96.0,85.0,98.0,76.0,120.0,123.0,95.0,120.0,test1
11,350.0,499.0,247.0,272.0,222.0,309.0,1116.0,891.0,425.0,334.0,767.0,228.0,247.0,413.0,574.0,367.0,406.0,319.0,418.0,1212.0,523.0,410.0,887.0,351.0,342.0,661.0,105.0,102.0,120.0,134.0,97.0,109.0,96.0,85.0,98.0,76.0,120.0,123.0,95.0,120.0,87.0,92.0,test1
12,425.0,334.0,767.0,228.0,247.0,413.0,574.0,494.0,327.0,507.0,274.0,171.0,243.0,285.0,570.0,887.0,351.0,342.0,533.0,661.0,471.0,583.0,371.0,271.0,360.0,644.0,98.0,76.0,120.0,123.0,95.0,120.0,87.0,92.0,144.0,76.0,97.0,100.0,117.0,109.0,74.0,85.0,test1
13,767.0,228.0,247.0,413.0,574.0,494.0,327.0,507.0,274.0,171.0,243.0,285.0,570.0,757.0,710.0,342.0,533.0,661.0,586.0,471.0,371.0,271.0,360.0,394.0,644.0,807.0,120.0,123.0,95.0,120.0,87.0,92.0,144.0,76.0,97.0,100.0,117.0,109.0,74.0,85.0,97.0,88.0,test1
14,574.0,494.0,327.0,507.0,274.0,171.0,243.0,285.0,570.0,757.0,710.0,366.0,548.0,237.0,239.0,471.0,583.0,371.0,271.0,360.0,644.0,842.0,807.0,454.0,679.0,325.0,87.0,92.0,144.0,76.0,97.0,100.0,117.0,109.0,74.0,85.0,97.0,88.0,131.0,109.0,86.0,124.0,test1
15,327.0,507.0,274.0,171.0,243.0,285.0,570.0,757.0,710.0,366.0,548.0,237.0,239.0,465.0,531.0,371.0,271.0,360.0,394.0,644.0,807.0,454.0,679.0,346.0,325.0,639.0,144.0,76.0,97.0,100.0,117.0,109.0,74.0,85.0,97.0,88.0,131.0,109.0,86.0,124.0,108.0,109.0,test1
16,710.0,366.0,548.0,237.0,239.0,465.0,531.0,520.0,339.0,482.0,197.0,179.0,184.0,226.0,478.0,679.0,346.0,325.0,589.0,639.0,457.0,584.0,311.0,290.0,293.0,574.0,97.0,88.0,131.0,109.0,86.0,124.0,108.0,109.0,118.0,102.0,114.0,111.0,109.0,112.0,96.0,93.0,test1
17,548.0,237.0,239.0,465.0,531.0,520.0,339.0,482.0,197.0,179.0,184.0,226.0,478.0,781.0,418.0,325.0,589.0,639.0,629.0,457.0,311.0,290.0,293.0,338.0,574.0,514.0,131.0,109.0,86.0,124.0,108.0,109.0,118.0,102.0,114.0,111.0,109.0,112.0,96.0,93.0,96.0,72.0,test1
18,531.0,520.0,339.0,482.0,197.0,179.0,184.0,226.0,478.0,781.0,418.0,414.0,698.0,274.0,202.0,457.0,584.0,311.0,290.0,293.0,574.0,874.0,514.0,486.0,807.0,301.0,108.0,109.0,118.0,102.0,114.0,111.0,109.0,112.0,96.0,93.0,96.0,72.0,109.0,88.0,99.0,96.0,test1
19,339.0,482.0,197.0,179.0,184.0,226.0,478.0,781.0,418.0,414.0,698.0,274.0,202.0,449.0,542.0,311.0,290.0,293.0,338.0,574.0,514.0,486.0,807.0,362.0,301.0,627.0,118.0,102.0,114.0,111.0,109.0,112.0,96.0,93.0,96.0,72.0,109.0,88.0,99.0,96.0,85.0,109.0,test1
20,418.0,414.0,698.0,274.0,202.0,449.0,542.0,515.0,307.0,474.0,260.0,187.0,189.0,285.0,475.0,807.0,362.0,301.0,545.0,627.0,425.0,558.0,369.0,284.0,314.0,571.0,96.0,72.0,109.0,88.0,99.0,96.0,85.0,109.0,118.0,84.0,109.0,97.0,125.0,121.0,96.0,85.0,test1
21,698.0,274.0,202.0,449.0,542.0,515.0,307.0,474.0,260.0,187.0,189.0,285.0,475.0,897.0,390.0,301.0,545.0,627.0,624.0,425.0,369.0,284.0,314.0,406.0,571.0,510.0,109.0,88.0,99.0,96.0,85.0,109.0,118.0,84.0,109.0,97.0,125.0,121.0,96.0,85.0,120.0,88.0,test1
