ID,touchSize,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,UUID
0,0.011764707043766977,96.0,83.0,80.0,82.0,111.0,83.0,69.0,82.0,96.0,97.0,83.0,97.0,96.0,97.0,83.0,68.0,test1
1,0.021568628028035164,80.0,82.0,111.0,83.0,69.0,82.0,96.0,97.0,83.0,97.0,96.0,97.0,83.0,68.0,79.0,97.0,test1
2,0.025490198284387592,69.0,82.0,96.0,97.0,83.0,97.0,96.0,97.0,83.0,68.0,79.0,97.0,82.0,98.0,125.0,97.0,test1
3,0.021568628028035164,96.0,97.0,83.0,97.0,96.0,97.0,83.0,68.0,79.0,97.0,82.0,98.0,125.0,97.0,69.0,66.0,test1
5,0.021568628028035164,82.0,98.0,125.0,97.0,69.0,66.0,83.0,110.0,111.0,83.0,97.0,83.0,55.0,83.0,83.0,96.0,test1
6,0.021568628028035164,69.0,66.0,83.0,110.0,111.0,83.0,97.0,83.0,55.0,83.0,83.0,96.0,68.0,110.0,83.0,69.0,test1
7,0.01960784383118153,83.0,110.0,111.0,83.0,97.0,83.0,55.0,83.0,83.0,96.0,68.0,110.0,83.0,69.0,69.0,69.0,test1
8,0.021568628028035164,83.0,96.0,68.0,110.0,83.0,69.0,69.0,69.0,82.0,83.0,124.0,83.0,85.0,97.0,69.0,81.0,test1
9,0.01960784383118153,68.0,110.0,83.0,69.0,69.0,69.0,82.0,83.0,124.0,83.0,85.0,97.0,69.0,81.0,97.0,83.0,test1
10,0.011764707043766977,67.0,67.0,82.0,68.0,54.0,67.0,81.0,53.0,68.0,54.0,40.0,81.0,95.0,68.0,82.0,67.0,test2
11,0.009803921915590765,82.0,68.0,54.0,67.0,81.0,53.0,68.0,54.0,40.0,81.0,95.0,68.0,82.0,67.0,81.0,68.0,test2
13,0.011764707043766977,68.0,54.0,40.0,81.0,95.0,68.0,82.0,67.0,81.0,68.0,81.0,81.0,68.0,68.0,68.0,68.0,test2
14,0.01568627543747425,81.0,68.0,81.0,81.0,68.0,68.0,68.0,68.0,82.0,40.0,68.0,95.0,82.0,81.0,68.0,82.0,test2
15,0.01960784383118153,81.0,81.0,68.0,68.0,68.0,68.0,82.0,40.0,68.0,95.0,82.0,81.0,68.0,82.0,95.0,82.0,test2
